busting					picado,(3)picada,(3)picar	(42)prender,(30)rebentar,(18)encher,(45)rebentando	rebentar								chest of human,arrest for illegal action,ruin, impoverish,physically break																										rebentando				[sound:6001-7000/thesaurus/6001-7000-thesaurus-busting.mp3]					(bʌst)	bʌst	bʌst																						
buff	<u><b>buff</b></u>:camurça. <u><b>buff</b></u>:devoto. <u><b>to buff</b></u>:polir,golpear.	1. a person who knows a lot about and is very interested in a particular subject			(2)tapa,lustre	(18)cinéfilo,(45)fã,(13)entusiasta,(26)lustre	cinéfilo,fã,lustre		fanático,caqui,bonitão	<b>buff</b>  amarelado  amarelado					sandy color,enthusiast,polish to a shine																										buff				[sound:6001-7000/thesaurus/6001-7000-thesaurus-buff.mp3]	[sound:6001-7000/cambridge/6001-7000-cambridge-buff.mp3]				(bʌf)	bʌf	bʌf																						
wax	<u><b>wax</b></u>:cera,graxa,parafina,cerume. <u><b>to wax</b></u>:aumentar,crescer,encerar.	1. a solid substance that becomes soft when warm and melts easily, often used to make candles			cera,(3)encerar	(2466)cera	encerar,cera	encerar,cera	cera	<b>wax</b>  <b>1.</b> crescer <b>2.</b> desenvolver (se)					become large, fuller																										cera				[sound:6001-7000/thesaurus/6001-7000-thesaurus-wax.mp3]	[sound:6001-7000/cambridge/6001-7000-cambridge-wax.mp3]				(wæks)	wæks	wæks					"<span class=""ipa dipa"">wæks</span>"																	
sleeve	<u><b>sleeve</b></u>:manga,luva.	1. the part of a jacket, shirt, etc. that covers your arm			(3)luva,manga	(1191)manga	luva,bucha,manga	bucha,manga	manga,ter um plano na manga																																manga					[sound:6001-7000/cambridge/6001-7000-cambridge-sleeve.mp3]				(sliv)	sliːv						"<span class=""ipa dipa"">sliv</span>"																	
irony	<u><b>irony</b></u>:ironia.	1. a situation in which something which was intended to have a particular result has the opposite or a very different result			ironia	(1748)ironia	ironia		ironia						sarcasm																										ironia				[sound:6001-7000/thesaurus/6001-7000-thesaurus-irony.mp3]	[sound:6001-7000/cambridge/6001-7000-cambridge-irony.mp3]				(ˈaɪ rə ni, ˈaɪ ər-)	ˈaɪərənɪ	ˈaɪ rə ni, ˈaɪ ər-																						
hospitals	<u><b>hospitals</b></u>:hospitais.		"01.  <font color=""#00aaff""><u>(Medicine)</font></u> <font color=""#00aaff""><u>(modifier)</font></u> having the function of a hospital.<BR>"		hospitais	(9369)hospitais	hospitais								place where ill, injured are treated																										hospitais																			[sound:6001-7000/thesaurus/6001-7000-thesaurus-hospitals.mp3]					(ˈhɒs pɪ tl)	ˈhɒspɪtl	ˈhɒs pɪ tl							
dope	<u><b>dope</b></u>:maconha,estupefaciente,narcótico,anabolizante,droga. <u><b>dope</b></u>:idiota,incrível,demais,da hora. <u><b>to dope</b></u>:drogar,dopar.	1. marijuana, or, more generally, any type of illegal drug			narcótico	(1035)droga	narcótico,dopar,drogar,droga	dopar	maconha,idiota,dopar,drogar	<b>dope</b>  droga  drogar					stupid person,drug,inside news,drug someone																										dope				[sound:6001-7000/thesaurus/6001-7000-thesaurus-dope.mp3]	[sound:6001-7000/cambridge/6001-7000-cambridge-dope.mp3]				(doʊp)	dəʊp	doʊp					"<span class=""ipa dipa"">doʊp</span>"																	
autopsy	<u><b>autopsy</b></u>:autópsia. <u><b>to autopsy</b></u>:autopsiar	1. the cutting open and examination of a dead body in order to discover the cause of death			autópsia	(2777)autópsia	autópsia		autópsia						examination of dead body																										autópsia																			[sound:6001-7000/thesaurus/6001-7000-thesaurus-autopsy.mp3]	[sound:6001-7000/cambridge/6001-7000-cambridge-eus75493.mp3]				(ˈɔ tɒp si, ˈɔ təp-)	ˈɔːtɒpsɪ	ˈɔ tɒp si, ˈɔ təp-					"<span class=""ipa dipa"">ˈɑː.tɑːp-</span>"		
torch	<u><b>torch</b></u>:tocha,archote,lanterna.	1. a long stick with material that burns tied to the top of it			tocha	(1512)tocha	tocha,lanterna	tocha,lanterna	tocha,lanterna	<b>torch</b>  <b>1.</b> <b>American</b> <b>flashlight</b> lanterna <b>2.</b>  tocha					light																										tocha				[sound:6001-7000/thesaurus/6001-7000-thesaurus-torch.mp3]	[sound:6001-7000/cambridge/6001-7000-cambridge-torch.mp3]				(tɔrtʃ)	tɔːʧ	tɔrtʃ					"<span class=""ipa dipa"">tɔrtʃ</span>"																	
prick	<u><b>prick</b></u>:pênis,ferrão,espetada,pau. <u><b>to prick</b></u>:picar.	1. to make a very small hole in something with a sharp object			picado,(3)picada,(3)picar	(552)idiota	picada,picar	picada	espetar,picar,ferroar,picada,pontada,ferroada						small hole made by stab,penis (vulgar),highly unpleasant man,stab, perforate																														[sound:6001-7000/thesaurus/6001-7000-thesaurus-prick.mp3]	[sound:6001-7000/cambridge/6001-7000-cambridge-eus73707.mp3]				(prɪk)	prɪk	prɪk					"<span class=""ipa dipa"">prɪk</span>"																	
limb	<u><b>limb</b></u>:membro.	1. a leg or an arm of a person			perna ou asa,(3)membro,(3)galho	(1013)membro	membro,galho		membro	<b>limb</b>  <b>1.</b> membro <b>2.</b> ramo <b>out on a limb</b> estar em apuros					appendage																														[sound:6001-7000/thesaurus/6001-7000-thesaurus-limb.mp3]	[sound:6001-7000/cambridge/6001-7000-cambridge-limb.mp3]				(lɪm)	lɪm	lɪm					"<span class=""ipa dipa"">lɪm</span>"																	
hysterical	<u><b>hysterical</b></u>:histérico.	1. not able to control your behaviour because you are very frightened, angry, excited, etc.			(3)histérico	(819)histérico		histérico	histérico,muito divertido,histericamente	<b>hysterical</b>  histérico					very upset, excited																																													[sound:6001-7000/thesaurus/6001-7000-thesaurus-hysterical.mp3]	[sound:6001-7000/cambridge/6001-7000-cambridge-hysterical.mp3]				(hɪˈstɛr ɪ kəl)		hɪˈstɛr ɪ kəl					"<span class=""ipa dipa"">hɪˈster·ɪ·kəl</span>"		
goddamnit					droga	(9)maldição,(10)bolas,(8)porra,(20)droga																																																																				
cousins					primos,(3)primo	(1957)primos	primo	primos,primo,prima							family relation								"<b>""<font color=""#ff0000"">Cousins</font> who grow up together develop a strong tie.""</b><br><i>""Primos que crescem juntos desenvolvem um laço forte.""</i> <i><u><font color=""#aa4444"">primos</font></u></i> <br><br><b>""My uncle and my <font color=""#ff0000"">cousins</font> came to see me yesterday.""</b><br><i>""Meu tio e minhas primas vieram me visitar ontem.""</i> <i><u><font color=""#aa4444"">prima</font></u></i> <br>"																						[sound:6001-7000/thesaurus/6001-7000-thesaurus-cousins.mp3]					(ˈkʌz ən)	kʌzn	ˈkʌz ən																						
bonding	<u><b>bonding</b></u>:ligação afetiva.				união	(376)ligação	ligação	ligação							fasten; stick																														[sound:6001-7000/thesaurus/6001-7000-thesaurus-bonding.mp3]					(ˈbɒn dɪŋ)	ˈbɒndɪŋ	ˈbɒn dɪŋ																						
bee	<u><b>bee</b></u>:abelha.	1. a yellow and black insect that makes honey (= sweet, sticky food)			abelha	(1701)abelha	abelha		abelha,ser/estar obcecado	<b>bee</b> &nbsp;abelha <b>.</b> <b> American</b> reunião&nbsp;<div>					honey-making, stinging insect,collective task																														[sound:6001-7000/thesaurus/6001-7000-thesaurus-bee.mp3]	[sound:6001-7000/cambridge/6001-7000-cambridge-b.mp3]				(bi)	biː	bi					"<span class=""ipa dipa"">bi</span>"																	marked
ultimately	<u><b>ultimately</b></u>:finalmente,por fim.	1. finally, after a series of things have happened			(3)finalmente,(3)em última análise,no final das contas	(1627)finalmente,(2166)em última análise	finalmente		no final,no final das contas	<b>ultimately</b>  finalmente		"<i><u><font color=""#aa4444"">no final das contas</font></u></i><br>"			eventually																										finalmente																				[sound:6001-7000/cambridge/6001-7000-cambridge-ultimately.mp3]	[sound:youdao-413524c7-24cb8f51-fdc7e282-e08b03a2-c11cfc9d.mp3]				ˈʌltɪmɪtlɪ						"<span class=""ipa dipa"">-t̬ə-</span>"		
