principles	<u><b>principles</b></u>:princípios.		"01.  <font color=""#00aaff""><u>(often plural)</font></u> a set of such moral rules."		(3)princípios	(34205)princípios	princípios								law, standard																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-principles.mp3]					(ˈprɪn sə pəl)	ˈprɪnsəplz,ˈprɪnsɪp(ə)l	ˈprɪn sə pəl																						
mole	<u><b>mole</b></u>:sinal,toupeira,espião.	1. a small, dark mark on the skin. <BR>2. a small animal with black fur that lives under the ground.	"01.  <font color=""#00aaff""><u>(Civil Engineering)</font></u> a breakwater.<BR>02.  <font color=""#00aaff""><u>(Civil Engineering)</font></u> a harbour protected by a breakwater.<BR>03.  <font color=""#00aaff""><u>(Tools)</font></u> a large tunnel excavator for use in soft rock."		(3)toupeira	(526)espião,(549)toupeira	toupeira	toupeira	pinta,toupeira	<b>mole</b>  toupeira					blemish,spy																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-mole.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-mole.mp3]				(moʊl)	məʊl	moʊl					"<span class=""ipa dipa"">moʊl</span>"																	
jelly	<u><b>jelly</b></u>:geléia,gelatina. <u><b>jelly</b></u>:gelatinoso. <u><b>to jelly</b></u>:engrossar.	1. a soft, sweet food that shakes when you move it. <BR>2. a soft, sweet food made from fruit, often used on bread.			(3)geléia	(298)geléia,(256)gelatina,(526)geleia	geléia,vaselina	geleia,vaselina	gelatina,geleia						jam,cream																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-jelly.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-jelly.mp3]				(ˈdʒɛl i)	ˈʤelɪ	ˈdʒɛl i					"<span class=""ipa dipa"">ˈdʒel·i</span>"																	
getaway	<u><b>getaway</b></u>:fuga,refúgio.	1. an occasion when someone leaves a place quickly, usually after committing a crime.			(3)fuga,cai fora	(305)fuga	fuga,·escapada	fuga,·escapada	fuga	<b>getaway</b>   fuga					escape																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-getaway.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-getaway.mp3]				(ˈgɛt əˌweɪ)	ˈgetəweɪ	ˈgɛt əˌweɪ																						
employment	<u><b>employment</b></u>:emprego,lugar,uso,cargo,aproveitamento,ofício.	1. work that a person or company pays you to do.			(3)emprego,(3)trabalho	(24731)emprego	emprego,trabalho	emprego	emprego	<b>employment</b>  emprego					working for a living;,using something																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-employment.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-employment.mp3]				(ɛmˈplɔɪ mənt)	ɪmˈplɔɪmənt	ɛmˈplɔɪ mənt					"<span class=""ipa dipa"">ɪmˈplɔɪ·mənt</span>"																	
den	<u><b>den</b></u>:antro,toca,cantinho,caverna,esconderijo,gruta,ninho,refúgio,casebre,covil. <u><b>to den</b></u>:habitar em toca.	1. the home of some kinds of wild animals. <BR>2. a room in a house or apartment, used for activities not involving work.			cova,(3)antro		cova,antro,·covil,·toca	,cova,·covil,·toca	toca,sala de TV	<b>den</b>  <b>1.</b> covil <b>2.</b>  canto					cavern, hideaway,room for relaxation or informal																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-den.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-den.mp3]				(dɛn)	den	dɛn					"<span class=""ipa dipa"">den</span>"																	
cracking	<u><b>cracking</b></u>:excelente.				(1)fracionamento,(1)fratura,(1)estalido,rachaduras	(51)rachando,(54)partir,(92)rachaduras,(105)craqueamento	estalido,rachaduras								break, usually into parts,lose self-control,hit very hard,discover meaning, answer																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-cracking.mp3]					(ˈkræk ɪŋ)	ˈkrækɪŋ,kræk	ˈkræk ɪŋ																						
compliments	<u><b>compliments</b></u>:elogios,saudações.				elogios	(567)elogios	·cumprimentos	,·cumprimentos,elogios							praise, flattery, flatter																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-compliments.mp3]						ˈkɒmplɪmənt	"<span class=""luna-pos"">noun</span> ˈkɒm plə mənt; <span class=""luna-pos"">verb</span> ˈkɒm pləˌmɛnt"																						
behold	<u><b>to behold</b></u>:ver,olhar,contemplar.	1. to see something.			(2)observar,(2)ver	(1287)eis que	contemplar,ver	observar	contemplar						regard; look at						"<b>""While he was still speaking, <font color=""#ff0000"">behold</font>, a crowd arrived.""</b><br><i>""Enquanto ele ainda estava falando, <font color=""#ff0000"">contemplar</font>, a crowd arrived.""</i><br><br><b>""This is a beautiful spectacle to <font color=""#ff0000"">behold</font>.""</b><br><i>""Este é um espetáculo bonito de se <font color=""#ff0000"">ver</font>.""</i><br><br><b>""It is a joy to <font color=""#ff0000"">behold</font> wisdom and knowledge in a man.""</b><br><i>""É um prazer <font color=""#ff0000"">observar</font> sabedoria e conhecimento num homem.""</i><br><br><b>""But take ye heed: <font color=""#ff0000"">behold</font>, I have foretold you all things.""</b><br><i>""Ficai vós, pois, de sobreaviso; <font color=""#ff0000"">eis que</font> de antemão vos tenho dito tudo.""</i><br><br><b>""Do but <font color=""#ff0000"">behold</font> yon poor and starved band.""</b><br><i>""<font color=""#ff0000"">Olhai</font> esse pobre e faminto bando.""</i><br>"																								[sound:7001-8000/thesaurus/7001-8000-thesaurus-behold.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-eus70491.mp3]				(bɪˈhoʊld)	bɪˈhəʊld	bɪˈhoʊld					"<span class=""ipa dipa"">bɪˈhoʊld</span>"																	
verge	<u><b>verge</b></u>:beira,margem,bordo,cetro. <u><b>to verge</b></u>:beirar.	1. If you are on the verge of something, you are very near to experiencing it. <BR>2. the edge of a road or path, usually covered in grass.	"08.  To incline; tend <font color=""#00aaff""><u>(usu. fol. by to or toward)</font></u>."		(3)orla,(3)beira	(797)beira	·berma	·berma,beira	estar prestes a (fazer) algo,margem,beira	<b>verge</b>   orla  beirar					extremity, limit,come near																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-verge.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-verge.mp3]				(vɜrdʒ)	vɜːʤ	vɜrdʒ					"<span class=""ipa dipa"">vɜrdʒ</span>"																	
tougher	<u><b>tougher</b></u>:mais resistente				(3)resistente,(3)duro,mais duro,(3)difícil	(281)mais difícil	resistente,duro,difícil	,mais duro							sturdy, strong,obstinate, rough,difficult, laborious																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-tougher.mp3]					(tʌf)	tʌf,ˈtʌfər	tʌf																						
