mat	<u><b>mat</b></u>:tela,esteira. <u><b>to mat</b></u>:esteirar.	1. a piece of material that you put on the floor in order to protect it.	"01.  <font color=""#00aaff""><u>(Art Terms)</font></u> to furnish <font color=""#00aaff""><u>(a picture)</font></u> with a mat.<BR>08. 20. To provide <font color=""#00aaff""><u>(a picture)</font></u> with a mat.<BR>09. 2 To put a mat around <font color=""#00aaff""><u>(a picture)</font></u>."		esteira,(3)tapete	(428)esteira,(802)tapete	esteira,tapete		tapete	<b>mat</b>   tapete																																				[sound:8001-9000/cambridge/8001-9000-cambridge-mat.mp3]				(mæt)	mæt						"<span class=""ipa dipa"">mæt</span>"																	
kindergarten	<u><b>kindergarten</b></u>:jardim de infância,pré-primária,pré-primário. <u><b>kindergarten</b></u>:pré-primário.	1. in the UK, a school for children aged under five. <BR>2. in the US, a class in school for children aged five or six.			(3)jardim de infância,jardim da infância	(439)jardim de infância			jardim de infância,pré-escola	<b>kindergarten</b>  jardim de infância																																				[sound:8001-9000/cambridge/8001-9000-cambridge-kindergarten.mp3]				(ˈkɪn dərˌgɑr tn, -dn)	ˈkɪndəgɑːtn						"<span class=""ipa dipa"">ˈkɪn·dərˌɡɑr·t<span class=""sp dsp"">ə</span>n</span>"																	
hostess	<u><b>hostess</b></u>:anfitriã.	1. a woman who is having a party.	"01.  <font color=""#00aaff""><u>(Aeronautics)</font></u> See air hostess."		anfitriã	(497)anfitriã	anfitriã		anfitriã																																					[sound:8001-9000/cambridge/8001-9000-cambridge-uscld01869.mp3]				(ˈhoʊ stɪs)	ˈhəʊstɪs						"<span class=""ipa dipa"">ˈhoʊs·təs</span>"																	
flaw	<u><b>flaw</b></u>:falha,defeito,rachadura. <u><b>to flaw</b></u>:invalidar.	1. a fault, mistake, or weakness, especially one that happens while something is being planned or made, or that causes something not to be perfect.			falha,(3)defeito	(960)falha	falha,defeito		defeito	<b>flaw</b>  defeito																																				[sound:8001-9000/cambridge/8001-9000-cambridge-eus71843.mp3]				(flɔ)	flɔː						"<span class=""ipa dipa"">flɑː</span>"																	
diving	<u><b>diving</b></u>:mergulho. <u><b>diving</b></u>:de mergulho.	1. the activity or sport of swimming under water, usually using special breathing equipment. <BR>2. the activity or sport of jumping into water with your arms and head going in first.	"02.  To cause <font color=""#00aaff""><u>(an aircraft, for example)</font></u> to dive."		mergulho	(2579)mergulho	mergulho		mergulho																																					[sound:8001-9000/cambridge/8001-9000-cambridge-diving.mp3]					daɪv,ˈdaɪvɪŋ						"<span class=""ipa dipa"">ˈdɑɪ·vɪŋ</span>"																	
discharge	<u><b>discharge</b></u>:descarga,demissão,desembarque,quitação. <u><b>to discharge</b></u>:descarregar,soltar,esvaziar,dispensar,desembocar.	1. to allow someone officially to leave somewhere, especially a hospital or a law court. <BR>2. to send out a substance, especially waste liquid or gas. <BR>3. to perform a task, especially an official one. <BR>4. to pay back a debt completely. <BR>5. to fire a gun, or to fire a shot from a gun. <BR>6. official permission to leave the armed forces, a prison, or a hospital. 7. the act of sending out waste liquid or gas. 8. liquid matter that comes from a part of the body and is often infected. 9. the performance of duties or payment of money that is owed. 10. the action of firing a gun.	"01.  <font color=""#00aaff""><u>(tr)</font></u> to release or allow to go.<BR>04.  To fire or shoot <font color=""#00aaff""><u>(a firearm or missile)</font></u>."		(3)descarregar,(3)quitação,descarga	(2955)quitação,(2137)descarga	descarregar,quitação,descarga		liberar,dar alta a,soltar,cumprir,pagar uma dívida,descarregar,baixa,alta,descarga,fluido,cumprimento,quitação																																					[sound:8001-9000/cambridge/8001-9000-cambridge-discharge.mp3],[sound:cambridge-discharge.mp3]				(v.  dɪsˈtʃɑrdʒ; n.  ˈdɪs tʃɑrdʒ, dɪsˈtʃɑrdʒ)	dɪsˈʧɑːʤ						"<span class=""ipa dipa"">-ˈtʃɑːrdʒ</span>,<span class=""ipa dipa"">-tʃɑːrdʒ</span>"																	
cannon	<u><b>cannon</b></u>:canhão,tacada. <u><b>to cannon</b></u>:canhonear,dar uma tacada (bilhar).	1. a very large gun.			canhão	(2457)canhão	canhão		canhão																																					[sound:8001-9000/cambridge/8001-9000-cambridge-cannon.mp3]				(ˈkæn ən)	ˈkænən						"<span class=""ipa dipa"">ˈkæn·ən</span>"																	
blizzard	<u><b>blizzard</b></u>:nevasca.	1. a storm with strong winds and snow.			nevasca	(152)da Blizzard,(99)nevão,(196)nevasca	nevasca		nevasca	<b>blizzard</b>  tempestade																																				[sound:8001-9000/cambridge/8001-9000-cambridge-blizzard.mp3]				(ˈblɪz ərd)	ˈblɪzəd						"<span class=""ipa dipa"">ˈblɪz·ərd</span>"																	
amongst	<u><b>amongst</b></u>:entre				(3)entre	(9016)entre	entre			<b>amongst</b>  <b>1.</b> entre <b>2.</b>  entre <b>between</b>																																								(əˈmʌŋ)	əˈmʌŋst																							
woody	<u><b>woody</b></u>:barraca armada,arborizado,lenhoso,florestado. <u><b>woody</b></u>:ereção	1. like wood, for example in taste or smell. <BR>2. Woody plants have hard stems. <BR>3. having many trees.	"01.  <font color=""#00aaff""><u>(Botany)</font></u> consisting of or containing wood or lignin.<BR>02.  <font color=""#00aaff""><u>(Forestry)</font></u> abounding in or covered with forest or woods."		(3)arborizado,amadeirado	(81)lenhoso,(90)amadeirado	arborizado,lenhoso		de madeira,arborizado	<b>woody</b>  <b>1.</b> arborizado <b>2.</b>  de madeira																																				[sound:8001-9000/cambridge/8001-9000-cambridge-uswondr014.mp3]				(ˈwʊd i)	ˈwʊdɪ						"<span class=""ipa dipa"">ˈwʊd.i</span>"																	
