busting				
buff	fanático,-a,caqui,bonitão		[sound:6001-7000-cambridge-buff.mp3]	a person who knows a lot about and is very interested in a particular subject
wax	cera	/<span class="ipa dipa">wæks</span>/	[sound:6001-7000-cambridge-wax.mp3]	a solid substance that becomes soft when warm and melts easily, often used to make candles
sleeve	manga,ter um plano na manga	/<span class="ipa dipa">sliv</span>/	[sound:6001-7000-cambridge-sleeve.mp3]	the part of a jacket, shirt, etc. that covers your arm
se				
pudding	sobremesa	/<span class="ipa dipa">ˈpʊd.ɪŋ</span>/	[sound:6001-7000-cambridge-pudding.mp3]	sweet food that is usually eaten as the last part of a meal
products				
philosophy	filosofia	/<span class="ipa dipa">fɪˈlɑ·sə·fi</span>/	[sound:6001-7000-cambridge-philosophy.mp3]	the study or writing of ideas about the meaning of life
Juliet				
japan	Japão		[sound:6001-7000-cambridge-uscld04178.mp3]	a country in East Asia formed of a group of islands
irony	ironia		[sound:6001-7000-cambridge-irony.mp3]	a situation in which something which was intended to have a particular result has the opposite or a very different result
hospitals				
dope	maconha,idiota,dopar,drogar	/<span class="ipa dipa">doʊp</span>/	[sound:6001-7000-cambridge-dope.mp3]	marijuana, or, more generally, any type of illegal drug
declare	declarar	/<span class="ipa dipa">dɪˈkleər</span>/	[sound:6001-7000-cambridge-eus75523.mp3]	to officially tell someone the value of something, for example at an airport, because you may have to pay tax
autopsy	autópsia	/<span class="ipa dipa">ˈɑː.tɑːp-</span>/	[sound:6001-7000-cambridge-eus75493.mp3]	the cutting open and examination of a dead body in order to discover the cause of death
workin				
torch	tocha,lanterna	/<span class="ipa dipa">tɔrtʃ</span>/	[sound:6001-7000-cambridge-torch.mp3]	a long stick with material that burns tied to the top of it
substitute	substituto,substituir	/<span class="ipa dipa">ˈsʌb·stɪˌtut</span>/	[sound:6001-7000-cambridge-substitute.mp3]	someone or something that is used instead of another person or thing
scandal	escândalo	/<span class="ipa dipa">ˈskæn·d<span class="sp dsp">ə</span>l</span>/	[sound:6001-7000-cambridge-scandal.mp3]	something that shocks people because they think it is very bad
prick	espetar,picar,ferroar,picada,pontada,ferroada	/<span class="ipa dipa">prɪk</span>/	[sound:6001-7000-cambridge-eus73707.mp3]	to make a very small hole in something with a sharp object
limb	membro	/<span class="ipa dipa">lɪm</span>/	[sound:6001-7000-cambridge-limb.mp3]	a leg or an arm of a person
leaf	folha	/<span class="ipa dipa">lif</span>/	[sound:6001-7000-cambridge-leaf.mp3]	a flat, green part of a plant that grows from a stem or branch
laser	laser	/<span class="ipa dipa">ˈleɪ·zər</span>/	[sound:6001-7000-cambridge-laser.mp3]	a very strong line of light that is used in machines and for repairing parts of the body
lady's				
hysterical	histérico,muito divertido,histericamente	/<span class="ipa dipa">hɪˈster·ɪ·kəl</span>/	[sound:6001-7000-cambridge-hysterical.mp3]	not able to control your behaviour because you are very frightened, angry, excited, etc.
growth	crescimento,tumor	/<span class="ipa dipa">ɡroʊθ</span>/	[sound:6001-7000-cambridge-growth.mp3]	the process of getting bigger or developing
goddamnit				
fetch	trazer,ir buscar,pegar	/<span class="ipa dipa">fetʃ</span>/	[sound:6001-7000-cambridge-fetch.mp3]	to go to another place to get something or someone
dimension	dimensões,dimensão	/<span class="ipa dipa">dəˈmen·ʃən</span>/	[sound:6001-7000-cambridge-eus71283.mp3]	a measurement of the length, width, or height of something
day's				
crowded	lotado,cheio de gente	/<span class="ipa dipa">ˈkrɑʊ·dɪd</span>/	[sound:6001-7000-cambridge-crowded.mp3]	very full of people
cousins				
clip	clipe,clipe (filme),videoclipe,prender algo com um clipe,cortar	/<span class="ipa dipa">klɪp</span>/	[sound:6001-7000-cambridge-clip.mp3]	a small metal object used for holding things together
climbing	alpinismo	/<span class="ipa dipa">ˈklɑɪ·mɪŋ</span>/	[sound:6001-7000-cambridge-usclavi022.mp3]	the sport of climbing mountains, hills, or rocks
bonding				
bee	abelha,ser/estar obcecado	/<span class="ipa dipa">bi</span>/	[sound:6001-7000-cambridge-b.mp3]	a yellow and black insect that makes honey (= sweet, sticky food)
Barnes				
approved				
yeh	sim	/<span class="ipa dipa">jeə</span>/	[sound:6001-7000-cambridge-yeah.mp3]	→  yeah 
woah				
veronica				
ultimately	no final,no final das contas	/<span class="ipa dipa">-t̬ə-</span>/	[sound:6001-7000-cambridge-ultimately.mp3]	finally, after a series of things have happened
trusts				
terror	terror	/<span class="ipa dipa">ˈter·ər</span>/	[sound:6001-7000-cambridge-terror.mp3]	a feeling of being very frightened
roller	rolo,bóbi	/<span class="ipa dipa">ˈroʊ·lər</span>/	[sound:6001-7000-cambridge-roller.mp3]	a piece of equipment in the shape of a tube that is rolled around or over something
returns				
negotiate	negociar	/<span class="ipa dipa">nɪˈɡoʊ·ʃiˌeɪt</span>/	[sound:6001-7000-cambridge-negotiate.mp3]	to try to make or change an agreement by talking about it
millennium	milênio	/<span class="ipa dipa">məˈlen·i·əm</span>/	[sound:6001-7000-cambridge-millennium.mp3]	a period of 1,000 years
mi	mi		[sound:6001-7000-cambridge-me.mp3]	the third note in the sol-fa musical scale
marsh	charco,brejo,pântano	/<span class="ipa dipa">mɑrʃ</span>/	[sound:6001-7000-cambridge-marsh.mp3]	an area of soft, wet land
majority	maioria	/<span class="ipa dipa">məˈdʒɔr·ə·t̬i</span>/	[sound:6001-7000-cambridge-eus72875.mp3]	the biggest group of people or things
lethal	letal,fatal	/<span class="ipa dipa">ˈli·θəl</span>/	[sound:6001-7000-cambridge-lethal.mp3]	able to kill someone
length	comprimento,duração	/<span class="ipa dipa">leŋkθ</span>/	[sound:6001-7000-cambridge-length.mp3]	how long something is from one end to the other
iced				
fantasies				
element	elemento,um pouco de algo,ficar bem à vontade	/<span class="ipa dipa">ˈel·ə·mənt</span>/	[sound:6001-7000-cambridge-element.mp3]	a part of something
deeds				
Clarke				
cigars				
Bradley				
